#,1#,2#,#3,10#,4#,5#,6#,7#
30419,file-export,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-08-23T08:46:59.000000Z,2023-08-23T08:46:59.000000Z
30418,Audit-data-show,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-23T08:46:48.000000Z,2023-08-23T08:46:48.000000Z
30417,update-page/31,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6InBVRmpXaWUwbktxbisydDVXaGFKeUE9PSIsInZhbHVlIjoiU3Q3cCt0THQwM3p5THhPZ3JQQXYwdz09IiwibWFjIjoiODU0YjdjYTkyYTNjOGYzZGVmMjk2YzQyNWJmNGU5YTUyYTFmNmRiODUzMjljMjEyMWVhY2UyZjk1ZjdiZGIxNSIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:46:40.000000Z,2023-08-23T08:46:40.000000Z
30416,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:46:29.000000Z,2023-08-23T08:46:29.000000Z
30415,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:46:22.000000Z,2023-08-23T08:46:22.000000Z
30414,show_gallery,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/show_gallery,55,Aman,66.29.141.137,2023-08-23T08:45:41.000000Z,2023-08-23T08:45:41.000000Z
30413,manage-quick-links,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-08-23T08:44:52.000000Z,2023-08-23T08:44:52.000000Z
30412,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:41:22.000000Z,2023-08-23T08:41:22.000000Z
30411,add-edit-quicklink,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-quicklink,1,"Super Admin",66.29.141.137,2023-08-23T08:41:14.000000Z,2023-08-23T08:41:14.000000Z
30410,manage-quick-links,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-08-23T08:41:12.000000Z,2023-08-23T08:41:12.000000Z
30409,manage-quick-links,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-08-23T08:41:09.000000Z,2023-08-23T08:41:09.000000Z
30408,update-page/110,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6InBVVkt6R0t2Zk9wOVdSWFp0SGYwTVE9PSIsInZhbHVlIjoiVHJZS2h0SUhNVU1ZSHMvUTBpQmxWZz09IiwibWFjIjoiNzNlZWU5M2E4ZGM5ZjU3NmY0MWU3YjQ3YmMxYWE5ZjlmMjkyZWIwODBjYmM3YWEzZGRjODFmODFiNTlhMWJmNCIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:41:05.000000Z,2023-08-23T08:41:05.000000Z
30407,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:40:56.000000Z,2023-08-23T08:40:56.000000Z
30406,update-page/104,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6IjlMOTdoMEpqMjBBYnBqTmVRcWo3b0E9PSIsInZhbHVlIjoiL3VQVndUYmJzek9BUjRtNHJvRk1Ddz09IiwibWFjIjoiZjNmNTYzODRmOWY3OTdlYjhmMTZiYWZjY2NlNzQ1MGI0YjIxNmE2NzhiZDVhMzlhMTIzZDVhMWUyMTU5ZjQyOSIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:40:53.000000Z,2023-08-23T08:40:53.000000Z
30405,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:40:17.000000Z,2023-08-23T08:40:17.000000Z
30404,update_page_act/110,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update_page_act/eyJpdiI6IkZSU2lhN3c5VDNqWVIvaW9TSVZZVkE9PSIsInZhbHVlIjoiRVJBV3htdCtaN3Y2d0tmZ2REenNJUT09IiwibWFjIjoiZGM0OTVkODI5MjEzNzFmMzc0NThlOGJiMzEwZDMwM2JmNmJiYjdkYzQ5ODhmMmRjYTgwY2MzM2FiNTcyN2Q4NCIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:40:17.000000Z,2023-08-23T08:40:17.000000Z
30403,manage-quick-links,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-08-23T08:37:38.000000Z,2023-08-23T08:37:38.000000Z
30402,update-page/110,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6ImliSHdueDgwZTI5R1VBeUdRT0hVNVE9PSIsInZhbHVlIjoiVThFZER0U2twSTlCcU1DdGtnQTlLZz09IiwibWFjIjoiNjA4Mzc2NDJiYmVlMjE3ZmFhMDNiYzY1MTMyMWU0ZDg2MmU2NTIxZTQ2YzEyZGU2NjI0NTIyZmUzZjMxOGExMSIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:37:03.000000Z,2023-08-23T08:37:03.000000Z
30401,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:36:44.000000Z,2023-08-23T08:36:44.000000Z
30400,update-page/116,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6Im1hSWxtaVN5d0I3eW1LbFNtTU52bHc9PSIsInZhbHVlIjoiMEI5aGRieDZRUXBlbUQrWXNGbGNhZz09IiwibWFjIjoiNmYxNmViZDQyNmU3MTAwYjA0OWQ0NWExNDVhM2NiOWE3OWI4ZjUwOWUzNzk5MzlkZGFmODkwMjJkMGI4NDdlMyIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:36:35.000000Z,2023-08-23T08:36:35.000000Z
30399,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:36:22.000000Z,2023-08-23T08:36:22.000000Z
30398,update-page/138,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6IllHUjU5QXdybVZjTjhZRFhQOWhNVlE9PSIsInZhbHVlIjoiTmdxbG9UdUlma1VYUXB3OXIwd24zZz09IiwibWFjIjoiNTFlMzVhYWE0ZTFiMGZjYjQ3ZjU3N2YxMjFhM2VlNTY5NGI5MDMxODBiMjZmNDY3ODYzOWE5MWY3YzI4OTFlZiIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:36:19.000000Z,2023-08-23T08:36:19.000000Z
30397,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T08:36:06.000000Z,2023-08-23T08:36:06.000000Z
30396,update-page/116,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6IitEMHlaOWpWMFFPdHJnZFV0cFFzSEE9PSIsInZhbHVlIjoiMHRUMGRXWmxhMEdxUlA0MHNDcHlHdz09IiwibWFjIjoiNmMzODAwMGM0YTI4MGRhZDUwYTg5MWNkODdkMDRjMTI1YTA2NmZkNzI5NmJjYmM5NjNiM2ExNDljNzNiOTFiMyIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T08:35:55.000000Z,2023-08-23T08:35:55.000000Z
30395,add_link,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add_link,1,"Super Admin",66.29.141.137,2023-08-23T08:35:22.000000Z,2023-08-23T08:35:22.000000Z
